primaryTitle|runtimeMinutes|genres|overview|release_date|tagline|averageRating|numVotes
Black Panther: Wakanda Forever|2h 41m|Action,Adventure,Drama|The people of Wakanda fight to protect their home from intervening world powers as they mourn the death of King T'Challa.|November 11, 2022|Forever|7.3|74K
Black Panther|2h 14m|Action,Adventure,Sci-Fi|T'Challa, heir to the hidden but advanced kingdom of Wakanda, must step forward to lead his people into a new future and must confront a challenger from his country's past.|February 16, 2018|Long live the king.|7.3|762K
Thor: Love and Thunder|1h 58m|Action,Adventure,Comedy|Thor enlists the help of Valkyrie, Korg and ex-girlfriend Jane Foster to fight Gorr the God Butcher, who intends to make the gods extinct.|July 8, 2022|Not every god has a plan.|6.3|309K
She-Hulk: Attorney at Law|35m|Action,Adventure,Comedy|Jennifer Walters navigates the complicated life of a single, 30-something attorney who also happens to be a green 6-foot-7-inch superpowered Hulk.|August 18, 2022|You'll like her when she's angry.|5.2|159K
Spider-Man: No Way Home|2h 28m|Action,Adventure,Fantasy|With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear, forcing Peter to discover what it truly means to be Spider-Man.|December 17, 2021|The Multiverse Unleashed.|8.3|744K
Avengers: Endgame|3h 1m|Action,Adventure,Drama|After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.|April 26, 2019|Avenge the fallen.|8.4|1.1M
Doctor Strange in the Multiverse of Madness|2h 6m|Action,Adventure,Fantasy|Doctor Strange teams up with a mysterious teenage girl from his dreams who can travel across multiverses, to battle multiple threats, including other-universe versions of himself, which threaten to wipe out millions across the multiverse. They seek help from Wanda the Scarlet Witch, Wong and others.|May 6, 2022|Enter a new dimension of Strange.|6.9|404K
Eternals|2h 36m|Action,Adventure,Fantasy|The saga of the Eternals, a race of immortal beings who lived on Earth and shaped its history and civilizations.|November 5, 2021|In the beginning...|6.3|338K
Avengers: Infinity War|2h 29m|Action,Adventure,Sci-Fi|The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.|April 27, 2018|An entire universe. Once and for all.|8.4|1.1M
Iron Man|2h 6m|Action,Adventure,Sci-Fi|After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil.|May 2, 2008|Heroes aren't born. They're built.|7.9|1.1M
Guardians of the Galaxy|2h 1m|Action,Adventure,Comedy|A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe.|August 1, 2014|You're welcome.|8.0|1.2M
Moon Knight|53m|Action,Adventure,Fantasy|Steven Grant discovers he's been granted the powers of an Egyptian moon god. But he soon finds out that these newfound powers can be both a blessing and a curse to his troubled life.|March 30, 2022|None|7.3|226K
