primaryTitle|runtimeMinutes|genres|overview|release_date|tagline|averageRating|numVotes
Black Panther: Wakanda Forever|161|Action,Adventure,Drama|people wakanda fight protect home intervening world power mourn death king challa|November 11, 2022|forever|7.3|74000
Black Panther|134|Action,Adventure,Sci-Fi|challa heir hidden advanced kingdom wakanda must step forward lead people new future must confront challenger country past|February 16, 2018|long live king|7.3|762000
Thor: Love and Thunder|118|Action,Adventure,Comedy|thor enlists help valkyrie korg ex girlfriend jane foster fight gorr god butcher intends make god extinct|July 8, 2022|every god plan|6.3|309000
She-Hulk: Attorney at Law|35|Action,Adventure,Comedy|jennifer walter navigates complicated life single 30 something attorney also happens green 6 foot 7 inch superpowered hulk|August 18, 2022|like angry|5.2|159000
Spider-Man: No Way Home|148|Action,Adventure,Fantasy|spider man identity revealed peter asks doctor strange help spell go wrong dangerous foe world start appear forcing peter discover truly mean spider man|December 17, 2021|multiverse unleashed|8.3|744000
Avengers: Endgame|181|Action,Adventure,Drama|devastating event avenger infinity war 2018 universe ruin help remaining ally avenger assemble order reverse thanos action restore balance universe|April 26, 2019|avenge fallen|8.4|1100000
Doctor Strange in the Multiverse of Madness|126|Action,Adventure,Fantasy|doctor strange team mysterious teenage girl dream travel across multiverses battle multiple threat including universe version threaten wipe million across multiverse seek help wanda scarlet witch wong others|May 6, 2022|enter new dimension strange|6.9|404000
Eternals|156|Action,Adventure,Fantasy|saga eternals race immortal being lived earth shaped history civilization|November 5, 2021|beginning|6.3|338000
Avengers: Infinity War|149|Action,Adventure,Sci-Fi|avenger ally must willing sacrifice attempt defeat powerful thanos blitz devastation ruin put end universe|April 27, 2018|entire universe|8.4|1100000
Iron Man|126|Action,Adventure,Sci-Fi|held captive afghan cave billionaire engineer tony stark creates unique weaponized suit armor fight evil|May 2, 2008|hero born built|7.9|1100000
Guardians of the Galaxy|121|Action,Adventure,Comedy|group intergalactic criminal must pull together stop fanatical warrior plan purge universe|August 1, 2014|welcome|8.0|1200000
Moon Knight|53|Action,Adventure,Fantasy|steven grant discovers granted power egyptian moon god soon find newfound power blessing curse troubled life|March 30, 2022||7.3|226000
Loki|53|Action,Adventure,Fantasy|mercurial villain loki resume role god mischief new series take place event avenger endgame|June 9, 2021||8.2|313000
The Avengers|143|Action,Adventure,Sci-Fi|earth mightiest hero must come together learn fight team going stop mischievous loki alien army enslaving humanity|May 4, 2012|avenger assemble|8.0|1400000
WandaVision|350|Action,Comedy,Drama|blend style classic sitcom mcu wanda maximoff vision two super powered being living ideal suburban life begin suspect everything seems|January 15, 2021|marvel studio present visionary new age television|7.9|321000
Black Widow|134|Action,Adventure,Sci-Fi|natasha romanoff confronts darker part ledger dangerous conspiracy tie past arises|July 9, 2021|done running past|6.7|375000
