tconst|titleType|primaryTitle|startYear|runtimeMinutes|genres|overview|release_date|tagline|averageRating|numVotes
tt0015400|movie|The Thief of Bagdad|1924|155|Adventure,Family,Fantasy|A recalcitrant thief vies with a duplicitous Mongol ruler for the hand of a beautiful princess.|3/18/24|"""""""Happiness Must Be Earned"""""""|7.7|6324
tt0019563|movie|West of Zanzibar|1928|65|Drama,Mystery|Silent film (with musical score) about the vengefulness of a cuckolded magician (Lon Chaney) paralyzed in a brawl with his rival (Lionel Barrymore).|11/24/28||7.2|1817
tt0022958|movie|Grand Hotel|1932|112|Drama,Romance|Guests at a posh Berlin hotel struggle through worry, scandal, and heartache.|5/25/32|Thank The Stars For A Great Entertainment !|7.3|19576
tt0024216|movie|King Kong|1933|100|Adventure,Horror,Sci-Fi|An adventure film about a film crew in search of a monster on a remote island. The crew finds King Kong and decides to take him back to New York as a money making spectacle. The film is a masterpiece of Stop-Motion in filmmaking history and inspired a line of King Kong films.|4/7/33|A Monster of Creation's Dawn Breaks Loose in Our World Today!|7.9|86102
tt0027977|movie|Modern Times|1936|87|Comedy,Drama,Romance|The Tramp struggles to live in modern industrial society with the help of a young homeless woman.|2/5/36|He stands alone as the greatest entertainer of modern times! No one on earth can make you laugh as heartily or touch your heart as deeply...the whole world laughs, cries and thrills to his priceless genius!|8.5|242411
tt0029453|movie|Pépé le Moko|1937|94|Crime,Drama,Romance|Pepe Le Moko is a gangster from Paris hiding in Algier's Casbah, where he is safe and able to elude police's attempts to capture him. But he misses his freedom, after two years in the Casbah. He meets a gorgeous Parisian tourist, Gaby, and they fall in love. Native Inspector Slimane tries to use her to attract Pepe out of the Casbah in order to catch him...|1/28/37||7.7|7582
tt0031381|movie|Gone with the Wind|1939|238|Drama,Romance,War|An American classic in which a manipulative woman and a roguish man carry on a turbulent love affair in the American south during the Civil War and Reconstruction.|12/15/39|The greatest romance of all time!|8.2|315731
tt0031679|movie|Mr. Smith Goes to Washington|1939|129|Comedy,Drama|Naive and idealistic Jefferson Smith, leader of the Boy Rangers, is appointed on a lark by the spineless governor of his state. He is reunited with the state's senior senator--presidential hopeful and childhood hero, Senator Joseph Paine. In Washington, however, Smith discovers many of the shortcomings of the political process as his earnest goal of a national boys' camp leads to a conflict with the state political boss, Jim Taylor. Taylor first tries to corrupt Smith and then later attempts to destroy Smith through a scandal.|10/19/39|Romance, drama, laughter and heartbreak... created out of the very heart and soil of America!|8.1|116108
tt0032553|movie|The Great Dictator|1940|125|Comedy,Drama,War|Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.|10/15/40|Once again - the whole world laughs!|8.4|224110
tt0033563|movie|Dumbo|1941|64|Adventure,Animation,Drama|Dumbo is a baby elephant born with oversized ears and a supreme lack of confidence. But thanks to his even more diminutive buddy -- Timothy the Mouse -- the pint-sized pachyderm learns to surmount all obstacles.|10/22/41|The One...The Only...The FABULOUS...|7.2|132831
tt0034583|movie|Casablanca|1942|102|Drama,Romance,War|In Casablanca, Morocco in December 1941, a cynical American expatriate meets a former lover, with unforeseen complications.|11/26/42|They had a date with fate in Casablanca!|8.5|570237
