tconst|titleType|primaryTitle|startYear|runtimeMinutes|genres|overview|release_date|tagline|averageRating|numVotes
tt0015400|movie|The Thief of Bagdad|1924|155|Adventure,Family,Fantasy|recalcitrant thief vies duplicitous mongol ruler hand beautiful princess|3/18/24|happiness must earned|7.7|6324
tt0019563|movie|West of Zanzibar|1928|65|Drama,Mystery|silent film musical score vengefulness cuckolded magician lon chaney paralyzed brawl rival lionel barrymore|11/24/28||7.2|1817
tt0022958|movie|Grand Hotel|1932|112|Drama,Romance|guest posh berlin hotel struggle worry scandal heartache|5/25/32|thank star great entertainment|7.3|19576
tt0024216|movie|King Kong|1933|100|Adventure,Horror,Sci-Fi|adventure film film crew search monster remote island crew find king kong decides take back new york money making spectacle film masterpiece stop motion filmmaking history inspired line king kong film|4/7/33|monster creation dawn break loose world today|7.9|86102
tt0027977|movie|Modern Times|1936|87|Comedy,Drama,Romance|tramp struggle live modern industrial society help young homeless woman|2/5/36|stand alone greatest entertainer modern time one earth make laugh heartily touch heart deeply whole world laugh cry thrill priceless genius|8.5|242411
tt0029453|movie|Pépé le Moko|1937|94|Crime,Drama,Romance|pepe le moko gangster paris hiding algier casbah safe able elude police attempt capture miss freedom two year casbah meet gorgeous parisian tourist gaby fall love native inspector slimane try use attract pepe casbah order catch|1/28/37||7.7|7582
tt0031381|movie|Gone with the Wind|1939|238|Drama,Romance,War|american classic manipulative woman roguish man carry turbulent love affair american south civil war reconstruction|12/15/39|greatest romance time|8.2|315731
tt0031679|movie|Mr. Smith Goes to Washington|1939|129|Comedy,Drama|naive idealistic jefferson smith leader boy ranger appointed lark spineless governor state reunited state senior senator presidential hopeful childhood hero senator joseph paine washington however smith discovers many shortcoming political process earnest goal national boy camp lead conflict state political bos jim taylor taylor first try corrupt smith later attempt destroy smith scandal|10/19/39|romance drama laughter heartbreak created heart soil america|8.1|116108
tt0032553|movie|The Great Dictator|1940|125|Comedy,Drama,War|dictator adenoid hynkel try expand empire poor jewish barber try avoid persecution hynkel regime|10/15/40|whole world laugh|8.4|224110
tt0033563|movie|Dumbo|1941|64|Adventure,Animation,Drama|dumbo baby elephant born oversized ear supreme lack confidence thanks even diminutive buddy timothy mouse pint sized pachyderm learns surmount obstacle|10/22/41|one fabulous|7.2|132831
